,error,slope,name
0,0.026091534697726185,-0.0009766171082621618,"01(1_0_0(00), 2_0_0(00))"
1,0.04123386845141435,-0.0003724424700722588,"01(1_0_0(00), 3_0_0(00))"
2,0.03390297026006237,-0.0005800834442875445,"01(1_0_0(00), 4_0_0(00))"
3,0.03669926099435777,0.0003229196982542995,"01(1_0_0(00), 5_0_0(00))"
4,0.03254624603704195,-0.0011461411030006907,"01(2_0_0(00), 3_0_0(00))"
5,0.05093433768358507,-0.00040443932332166944,"01(2_0_0(00), 4_0_0(00))"
6,0.010852576376105075,-0.0013799691325560451,"01(2_0_0(00), 5_0_0(00))"
7,0.022174234784621646,-0.0008530635822649724,"01(3_0_0(00), 4_0_0(00))"
8,0.01327571587397919,-0.001070495935171811,"01(3_0_0(00), 5_0_0(00))"
9,0.029409028610993006,0.0009963250454038037,"01(4_0_0(00), 5_0_0(00))"
10,0.008570590754372009,0.0016188342762019031,"02(1_0_0(00), 2_0_0(00))"
11,0.011344650052398415,0.0014315772672861755,"02(1_0_0(00), 3_0_0(00))"
12,0.015339376466515208,-0.0014400889761148146,"02(1_0_0(00), 4_0_0(00))"
13,0.01285739931535029,-0.0015929073185301434,"02(1_0_0(00), 5_0_0(00))"
14,0.02974454506199926,-0.0011720493660150242,"02(2_0_0(00), 3_0_0(00))"
15,0.05933629145132891,-7.079156742375621e-05,"02(2_0_0(00), 4_0_0(00))"
16,0.028585054033625813,-0.000672605967098842,"02(2_0_0(00), 5_0_0(00))"
17,0.022276061777855106,0.0006241813266494063,"02(3_0_0(00), 4_0_0(00))"
18,0.028569924338467032,0.000725533536929014,"02(3_0_0(00), 5_0_0(00))"
19,0.024391664946791264,-0.0013132727622937141,"02(4_0_0(00), 5_0_0(00))"
20,0.018833279742148816,0.000940293876799101,"03(1_0_0(00), 2_0_0(00))"
21,0.06974281366653028,0.00024949041980890633,"03(1_0_0(00), 3_0_0(00))"
22,0.019995116914242238,-0.0010218472143729569,"03(1_0_0(00), 4_0_0(00))"
23,0.055801246456104577,-0.0008161626438587735,"03(1_0_0(00), 5_0_0(00))"
24,0.029733778041412567,0.000685670525308856,"03(2_0_0(00), 3_0_0(00))"
25,0.02521353351384429,-0.0011135657589886332,"03(2_0_0(00), 4_0_0(00))"
26,0.021976092963519284,-0.0011234040975757512,"03(2_0_0(00), 5_0_0(00))"
27,0.031560001000944284,-0.00022782831046000041,"03(3_0_0(00), 4_0_0(00))"
28,0.03645300933065949,-0.00068209415398892,"03(3_0_0(00), 5_0_0(00))"
29,0.054263854555394335,-0.00021988408242653424,"03(4_0_0(00), 5_0_0(00))"
