,error,slope,name,y
0,0.025036575953268,0.001221154601268,"01(1_0_0, 2_0_0)",1
1,0.008922295958746,0.000866568610166,"01(1_0_0, 3_0_0)",1
2,0.023038827950525,0.00107082091445,"01(1_0_0, 4_0_0)",1
3,0.01762995086869,0.001233442666814,"01(1_0_0, 5_0_0)",1
4,0.046196836005221,0.000727547103716,"01(2_0_0, 3_0_0)",0
5,0.076473405589246,0.000408151693724,"01(2_0_0, 4_0_0)",0
6,0.061604413927053,1.72310419574826E-05,"01(2_0_0, 5_0_0)",0
7,0.050743839338939,0.000139779901007,"01(3_0_0, 4_0_0)",0
8,0.042966586267394,0.000422866884201,"01(3_0_0, 5_0_0)",0
9,0.050550596886618,0.000258584620483,"01(4_0_0, 5_0_0)",0
10,0.012798387985017,0.001680037388655,"02(1_0_0, 2_0_0)",1
11,0.013593152922447,0.001546488449641,"02(1_0_0, 3_0_0)",1
12,0.004633452990073,0.001239927673149,"02(1_0_0, 4_0_0)",1
13,0.009408594158338,0.001329301613618,"02(1_0_0, 5_0_0)",1
14,0.069729331820672,9.69631870410582E-05,"02(2_0_0, 3_0_0)",0
15,0.031329463890408,0.000830978613767,"02(2_0_0, 4_0_0)",0
16,0.040355554322268,0.000457318065296,"02(2_0_0, 5_0_0)",0
17,0.043078576604393,0.000363376073267,"02(3_0_0, 4_0_0)",0
18,0.042234369741562,0.000399691309367,"02(3_0_0, 5_0_0)",0
19,0.013248452507937,0.001209728073999,"02(4_0_0, 5_0_0)",0
20,0.020474395873993,0.001314059522888,"03(1_0_0, 2_0_0)",0
21,0.029434151892383,0.000782516298308,"03(1_0_0, 3_0_0)",0
22,0.015066000809027,0.001127123049835,"03(1_0_0, 4_0_0)",0
23,0.013698089251967,0.001125541629469,"03(1_0_0, 5_0_0)",0
24,0.046000100512371,0.000587006558789,"03(2_0_0, 3_0_0)",0
25,0.02267238619675,0.000988599541752,"03(2_0_0, 4_0_0)",0
26,0.033724107193223,0.000662676805507,"03(2_0_0, 5_0_0)",0
27,0.031025672569281,0.00046213681074,"03(3_0_0, 4_0_0)",0
28,0.026510263407543,0.001016457348726,"03(3_0_0, 5_0_0)",0
29,0.029519357367047,0.000609261895162,"03(4_0_0, 5_0_0)",0
30,0.015082617974998,0.000926331306235,"04(1_0_0, 2_0_0)",1
31,0.014127921037206,0.001325549529099,"04(1_0_0, 3_0_0)",1
32,0.074918572112888,0.00014437920576,"04(1_0_0, 4_0_0)",1
33,0.025038029910555,0.000914405260654,"04(1_0_0, 5_0_0)",1
34,0.043440262287612,0.000539946354625,"04(2_0_0, 3_0_0)",0
35,0.007315674819367,0.001134207930169,"04(2_0_0, 4_0_0)",0
36,0.031345768386361,0.000618568520863,"04(2_0_0, 5_0_0)",0
37,0.016889112321071,0.001185401788512,"04(3_0_0, 4_0_0)",0
